indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
01/01/2017,27858.9,27477.3,27858872.08,27591730.13,267141.956,27858872.08,10230100.13,6864575.384,9047205.493,1716991.073,27858872.08,18043789.16,3514467.398,6705475.318,945906.3068,2880656.169,2606192.942,1050313.638,340777.3882,4397543.671,772371.8476,1838507.096,2806660.309
01/02/2017,25994.2,25223.4,25994200.17,25749179.4,245020.769,25994200.17,9719067.341,6438494.011,8309150.301,1527488.518,25994200.17,17656879.08,3344456.931,6576624.803,925618.6147,2855639.9,2600083.591,1026166.544,328288.6951,4053283.771,672290.5165,1257661.903,2354084.901
01/03/2017,27780,26334.3,27780006.52,27472228.72,307777.804,27780006.52,10244442.51,6908522.962,8845010.494,1782030.557,27780006.52,19186248.05,3290739.324,7437264.174,1016147.664,3188259.169,2824976.726,1075525.842,353335.1548,4354197.611,667696.6653,1305674.917,2266189.277
01/04/2017,29134.3,27045.9,29134272.22,28827479.49,306792.733,29134272.22,10312632.37,7454251.8,9458166.682,1909221.374,29134272.22,20257135.1,3253288.237,8211244.093,1132396.232,3257140.159,3006158.76,1037213.162,359694.4537,4355706.646,838948.2458,1535726.345,2146755.887
01/05/2017,27969,25631.9,27969004.68,27569311.41,399693.262,27969004.68,10147613.34,6735747.319,9220929.862,1864714.157,27969004.68,18904574.4,2869437.411,7651058.084,1033081.85,3232635.767,2799142.123,982651.1606,336568.0085,4206101.605,915895.1498,1824462.036,2117971.483
01/06/2017,29132.7,26365.4,29132712.74,28763865.42,368847.326,29132712.74,10565493.5,7337456.597,9196110.463,2033652.189,29132712.74,19601615.8,3103589.599,7911936.245,1083494.193,3322049.564,2883228.762,952203.315,345114.1199,4277889.539,1001572.002,1893542.062,2358093.345
01/07/2017,31182.3,27819.4,31182302.46,30815311.77,366990.683,31182302.46,10905912.74,8183012.318,10162899.88,1930477.521,31182302.46,20882660.95,3325398.656,8482567.662,1153102.214,3534096.704,3013143.968,994343.5775,380008.1679,4599798.334,1026743.496,1995091.144,2678008.532
01/08/2017,31154.9,27394.1,31154880.94,30763355.89,391525.052,31154880.94,11041625.27,7899351.017,,2098727.771,31154880.94,20666687.82,3261204.283,8275620.18,1147970.073,3604272.106,2946950.822,1060479.162,370191.1923,4585003.764,786415.484,1882133.804,3234640.071
01/09/2017,30521.5,26404.3,30521506.2,30135595.7,385910.498,30521506.2,10789170.33,7888243.177,9795878.643,2048214.044,30521506.2,21025932.94,3488952.968,8319868.332,1144159.461,3640337.038,2991425.025,1078616.457,362573.6633,4708171.561,740572.717,1673423.55,
01/10/2017,32446,27766.7,32445983.01,31980223.91,465759.1013,32445983.01,11220307.43,8695476.803,11447457.18,1082741.605,32445983.01,21743902.23,3928861.098,,1171282.635,3698962.63,3091846.913,1147860.292,381176.1241,4889144.438,870481.0825,2404158.327,2538296.932
01/11/2017,33629,28425.3,33628982.66,33122387.95,506594.7055,33628982.66,11657995.8,8324348.807,12553464.11,1093173.933,33628982.66,21967173.4,4297207.188,8282231.901,1138077.372,3641546.557,3032406.663,1206025.378,369678.3403,4988358.592,864815.7013,2729390.081,3079244.883
01/12/2017,40766.3,34084.5,40766322.1,40320285.28,446036.8247,40766322.1,13710305.37,11070098.74,14576008.24,1409909.758,40766322.1,26888567.26,6640857.416,9667850.147,1346130.813,3684165.032,3674954.1,1398334.689,476275.0587,5239243.108,1278355.018,2857322.674,4502834.048
01/01/2018,32479.2,26736.7,3208.00557,32103107.86,376100.1496,32479208.01,11705433.57,8391851.736,11256746.65,1125176.058,32479208.01,21415403.1,4222218.455,7836896.414,1122224.43,3431469.946,3091349.877,1318384.494,392859.4821,4989430.335,931581.0564,1999948.566,3142844.95
01/02/2018,31736.8,25650.7,31736824.55,,379379.7186,31736824.55,10720300.95,8607859.28,11364650.34,1044013.985,31736824.55,21328882.9,4356546.199,7699395.381,1101686.471,3398477.22,3136911.742,1248469.287,387396.6014,4725277.135,905082.794,1781739.856,2995841.865
01/03/2018,36531.3,28846.7,36531291.33,,475878.274,36531291.33,12955730.46,9144000.037,13175374.63,1256186.194,36531291.33,,4597365.962,9795952.073,1412393.855,3996896.453,3635088.654,1329929.284,438291.7475,5341668.285,964070.681,2049351.786,
01/04/2018,34113.7,26429.5,34113745.67,,491474.6886,34113745.67,11685359.59,8980714.558,12193290.58,1254380.943,34113745.67,,4218613.157,8945426.331,1255968.427,3762309.365,3537305.151,1205249.499,402471.0071,5038590.881,953653.699,2169127.423,2625030.728
01/05/2018,35133.1,26430.5,35133146.39,,725754.7977,35133146.39,11925300.09,8668139.054,13241497.64,1298209.604,35133146.39,,3737570.423,9171763.803,1297093.146,3872325.675,3439295.801,1155946.756,392629.8868,4862993.325,1148685.733,3356541.379,2698300.463
01/06/2018,38338.2,27465.9,38338209.75,,593413.6363,38338209.75,13517215.49,9513855.561,13623892.63,1683246.06,38338209.75,,4276518.982,10197523.39,1422314.278,4138338.417,3786047.216,1186724.082,410556.129,5109867.418,1426312.6,3509590.741,2874416.495
01/07/2018,39278.4,27033.4,39278449.96,,581799.0562,39278449.96,14061294.34,10619025.06,13151343.17,1446787.388,39278449.96,,4329776.746,10941910.28,1535870.426,4337129.471,3902397.037,1296379.378,445756.383,5496160.818,1357253.236,2294925.164,3340891.026
01/08/2018,39491.9,26267.3,39491907.27,38852702.48,639204.7898,39491907.27,13783068.02,10164619.78,13997246.39,1546973.084,39491907.27,,4440944.929,10804194.91,1505870.549,4432915.802,4015209.774,1359742.103,437960.5555,5542025.026,964553.3924,2037255.936,3951234.3
01/09/2018,39925.5,24310.8,39925549,39313002.17,612546.8226,39925549,14307986.24,10187454.22,14097447.21,1332661.336,39925549,,4915662.834,11194772.66,1509785.436,4594864.598,4200513.124,1330111.034,445612.1843,6102652.804,853166.795,1853671.983,2924735.55
01/10/2018,43420.3,25010.5,43420253.82,42646486.71,773767.1168,43420253.82,15413337.43,10495359.76,,1502570.944,43420253.82,,5367369.586,11730986.06,1633042.696,4894616.842,4495750.371,1478760.397,465288.6951,6486922.171,1010425.313,2543612.937,3313478.76
01/11/2018,44849.4,24891.7,44849446.01,44076960.79,772485.2141,44849446.01,15412653.11,11132996.57,,1530240.874,44849446.01,,5999482.305,11863636.2,1623972.49,4918020.845,4504157.02,1590214.276,472385.6955,6809307.631,1023726.661,2437736.317,3606806.562
01/12/2018,57204,31136.1,57203955.86,56452356.42,751599.4412,57203955.86,19372979.31,16252211.76,,1982093.356,57203955.86,38897886.83,9591843.13,14277710.69,1987411.831,5209569.968,5446438.436,1782265.959,602646.807,7737390.299,1732097.963,2850608.7,5985972.076
01/01/2019,45433.6,23888.7,45433623.71,44740575.24,693048.4704,45433623.71,16005633.83,11687681.67,,1517896.757,45433623.71,30532173.73,5940722.933,11509132.28,1602588.726,4824152.727,4540700.406,1622205.374,492671.2855,7273538.279,1296604.248,2193855.693,4137451.761
01/02/2019,44592.1,22542,44592144.9,43914187.06,677957.8398,44592144.9,15466783.51,12330583.27,,1464584.101,44592144.9,30680257.79,5900970.591,11400304.63,1585634.249,4837064.586,4861296.852,1607641.399,487345.475,6902733.489,1078456.143,2065592.427,3865105.05
01/03/2019,51065.7,24647.7,51065694.25,50347782.68,717911.5715,51065694.25,17737278.5,13685678.1,17969551.88,1673185.771,51065694.25,35639253.95,5901419.921,13664374.99,1863315.832,5729158.058,6187148.574,1733045.157,560791.4093,7753557.687,1250658.574,2294642.27,4127581.777
01/04/2019,49621.4,23073.8,49621409.28,48939565.17,681844.104,49621409.28,17102015.74,13152280.51,17736333.21,1630779.815,49621409.28,35631833,5437459.685,14448162.66,1961842.26,5754857.498,5891682.427,1598053.884,539774.582,7347464.877,1179040.514,2005702.657,3457368.228
01/05/2019,50778.3,22852.1,50778299.91,49813853.04,964446.8743,50778299.91,17247751.27,13838777.26,18013021.92,1678749.473,50778299.91,35586722,5258910.248,14391198.42,1910340.615,6223354.018,5732375.989,1526614.253,543928.4604,7602583.365,1504788.008,2486484.832,3597721.708
01/06/2019,54413.4,23803.4,54413419.61,53591716.25,821703.3617,54413419.61,17995550.11,15507030.32,19225537.23,1685301.948,54413419.61,37819361.45,5602884.226,15319207.31,2072217.133,6642410.276,6000958.162,1591347.412,590336.9224,8048845.873,1826746.711,2810683.083,3907782.501
01/07/2019,55044.5,23580.1,55044482.26,54121341.62,923140.633,55044482.26,18548992.46,15609905.91,19194608.05,1690975.835,55044482.26,38131665.01,5612874.218,15602920.27,2119480.474,6625542.26,5890360.285,1696455.097,584032.4124,7868920.347,1715793.102,3030760.221,4297343.576
01/08/2019,59672.1,24329.9,59672104.46,58647926.48,1024177.978,59672104.46,19745340.25,16044555.34,21781404.02,2100804.851,59672104.46,41692727.53,6069725.944,17125415.37,2205098.449,7351482.511,6419554.862,1903751.836,617698.5667,8632826.213,1208097.676,3073567.951,5064885.08
